Job Title,Company Name,Location,Job Type,Salary,Experience Level,Skills/Technologies Required,Benefits,Job Responsibilities/Duties,Job Posting Date,Job Description Length,Job Posting Platform,Job Posting ID
"Data Scientist, Data Science",Cardinal Health,United States (+1 other),Full-time,"$93,500 - $133,600",Senior-level,"python, r, machine learning, deep learning, ai, statistics","Anticipated salary range: $93,500 - $133,600, Bonus eligible: No, Benefits: Cardinal Health offers a wide variety of benefits and programs to support health and well-being, Medical, dental and vision coverage, Paid time off plan, Health savings account (HSA), 401k savings plan, Access to wages before pay day with myFlexPay, Flexible spending accounts (FSAs), Short- and long-term disability coverage, Work-Life resources, Paid parental leave, Healthy lifestyle programs, Pay at Cardinal Health is determined by multiple factors including, but not limited to, a candidates geographical location, relevant education, experience and skills and an evaluation of internal pay equity","The Data Science Advisor position will report to the Senior Manager, CRM and Analytics, This role would be responsible for developing new statistical models or other algorithms to drive increased sales through personalization, Develops algorithms, predictive models or other mathematical approaches to solve business problems, Implements and maintains code or algorithm in production environment, Develops reporting that helps executives and business partners under the impact of new solutions, Collaborates with Marketing team members and other departments to proactively identify areas where insights would enhance our knowledge of the customer and/or increase revenue, Support analytics team with adhoc projects as requested, Applies comprehensive knowledge and a thorough understanding of concepts, principles, and technical capabilities to perform varied tasks and projects, May contribute to the development of policies and procedures, Works on complex projects of large scope, Develops technical solutions to a wide range of difficult problems, Solutions are innovative and consistent with organization objectives, Completes work independently; receives general guidance on new projects, Work reviewed for purpose of meeting objectives, May act as a mentor to less experienced colleagues",2024/11/4,3551,"Cardinal Health, Workday, ZipRecruiter, LinkedIn, Karkidi, Indeed, Glassdoor, EchoJobs",eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCwgRGF0YSBTY2llbmNlIiwiY29tcGFueV9uYW1lIjoiQ2FyZGluYWwgSGVhbHRoIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiWWdlOW15TDVxZDVReTFfZUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
Usability Researcher 2- Data Scientist,Jobs via Dice,Anywhere,Full-time,,Senior-level,"r, ai, cloud","Employee pay is based on factors like relevant education, qualifications, certifications, experience, skills, seniority, location, performance, union contract and business needs, We offer comprehensive benefits including medical/dental/vision insurance, HSA, FSA, 401(k), and life, disability & ADD insurance to eligible employees, Salaried personnel receive paid time off, Hourly employees are not eligible for paid time off unless required by law, Hourly employees on a Service Contract Act project are eligible for paid sick leave, Note: Pay is not considered compensation until it is earned, vested and determinable, The amount and availability of any compensation remains in Kforce's sole discretion unless and until paid and may be modified in its discretion consistent with the law, This job is not eligible for bonuses, incentives or commissions","Kforce has a client in Redmond, WA that is seeking a Usability Researcher who will work closely with senior members on the team and become an expert in the motivations, workflows, and habits of data professionals and bring that expertise to the strategy, design, and growth of the many products and services in the cloud data suite, The UX Research team takes a multi-methods approach, combining expertise and creativity with both quantitative and qualitative methods combined with big data analysis to identify emerging patterns and usage and uncover user insights, unarticulated needs, and new product/service opportunities and priorities, Collaborate with a high-performing UX Research team with expertise in all types of research including qualitative, survey, usability, metrics, plus partnering with big data experts for analyses of behavioral data, Foster relationships with PM and design teams throughout the Data Organization so you stay close to our stakeholders and their challenges, Conduct a mixture of qualitative and quantitative research activities to inform product design, including but not limited to ethnographic explorations, usability studies, heuristic evaluations, interviews, contextual inquiry, surveys, user journey maps, benchmarks or any method that answers the most important research questions, Snap to organization-wide priorities and success criteria to design and execute on a research program that meets the organization's needs",2024/11/5,4177,"LinkedIn, Dice, Monster, Jobs And Talents In AI, ML, Data Science And Big Data",eyJqb2JfdGl0bGUiOiJVc2FiaWxpdHkgUmVzZWFyY2hlciAyLSBEYXRhIFNjaWVudGlzdCIsImNvbXBhbnlfbmFtZSI6IkpvYnMgdmlhIERpY2UiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJrLVpRcFFYVDhhalVwdzJCQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
Senior Data Scientist  Financial Crimes and Transaction Analytics,USAA,"Colorado Springs, CO",Full-time,"$138,230 - $248,810",Senior-level,"python, r, sql, machine learning, ai, cloud, statistics","This position can work remotely in the continental U.S. with occasional business travel, You are paid within the salary range based on your experience and market data of the position, The actual salary for this role may vary by location, The salary range for this position is: $138,230 - $248,810, Employees may be eligible for pay incentives based on overall corporate and individual performance and at the discretion of the USAA Board of Directors, Benefits: At USAA our employees enjoy best-in-class benefits to support their physical, financial, and emotional wellness, These benefits include comprehensive medical, dental and vision plans, 401(k), pension, life insurance, parental benefits, adoption assistance, paid time off program with paid holidays plus 16 paid volunteer hours, and various wellness programs, Additionally, our career path planning and continuing education assists employees with their professional goals","As a dedicated Senior Data Scientist, you will translate business problems into applied statistical, machine learning, simulation, and optimization solutions to inform actionable business insights and drive business value through automation, revenue generation, and expense and risk reduction, In collaboration with engineering partners, delivers solutions at scale, and enables customer-facing applications, Leverages database, cloud, and programming knowledge to build analytical modeling solutions using statistical and machine learning techniques, Collaborates with other data scientists to improve USAAs tooling, growing the companys library of internal packages and applications, Works with model risk management to validate the results and stability of models before being pushed to production at scale, We offer a flexible work environment that requires an individual to be in the office 4 days per week, The Senior Data Scientist  Financial Crimes and Transaction Analytics is responsible the development of machine learning models that improve USAAs ability to detect and prevent fraud on credit card, debit card, check, deposit, digital payments, as well as in other areas such as claims and disputes, Strong candidates will be able to deploy the following work products and processes:, Develop and continuously update internal fraud models in the transactions and payment space, demonstrating techniques ranging from statistics to highly complex AI/ML techniques, to generate highly significant reduction in fraud losses and improvement in Member experience, Work with Strategies and Model Management teams to understand and plan model needs, Drives continuous innovation in modeling efforts, Collaborate with the broader analytics community to share standard methodologies and techniques, Gathers, interprets, and manipulates structured and unstructured data to enable advanced analytical solutions for the business, Develops scalable, automated solutions using machine learning, simulation, and optimization to deliver business insights and business value, Selects the appropriate modeling technique and/or technology with consideration to data limitations, application, and business needs, Develops and deploys models within the Model Development Control (MDC) and Model Risk Management (MRM) framework, Composes, and assists peers with composing, technical documents for knowledge persistence, risk management, and technical review audiences, Assesses business needs to propose/recommend analytical and modeling projects to add business value, Works with business and analytics leaders to prioritize analytics and modeling problems/research efforts, Builds and maintains a robust library of reusable, production-quality algorithms and supporting code, to ensure model development and research efforts are transparent and based on the highest quality data, Translates complex business request(s) into specific analytical questions, completes the analysis and/or modeling, and then communicates outcomes to non-technical business colleagues with focus on business action and recommendations, Manages project breakthroughs, risks, and impediments, Intensifies potential issues that could limit project success or implementation, Develops standard methodologies for engaging with Data Engineering and IT to deploy production-ready analytical assets consistent with modeling best practices and model risk management standards, Maintains expertise and awareness of innovative techniques, Actively seeks opportunities and materials to learn new techniques, technologies, and methodologies, Serves as a mentor to junior data scientists in modeling, analytics, and computer science tasks, Participates in internal communities that drive the maintenance and transformation of data science technologies and culture, Ensures risks associated with business activities are optimally identified, measured, monitored, and controlled in accordance with risk and compliance policies and procedures",2024/11/5,9221,"LinkedIn, Talentify",eyJqb2JfdGl0bGUiOiJTZW5pb3IgRGF0YSBTY2llbnRpc3Qg4oCTIEZpbmFuY2lhbCBDcmltZXMgYW5kIFRyYW5zYWN0aW9uIEFuYWx5dGljcyIsImNvbXBhbnlfbmFtZSI6IlVTQUEiLCJhZGRyZXNzX2NpdHkiOiJDb2xvcmFkbyBTcHJpbmdzLCBDTyIsImh0aWRvY2lkIjoiMEVrYlZMWHlPVk1aVVROV0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
"Data Scientist, R&D",Eight Sleep,Anywhere,Full-time,,,"python, r, sql, machine learning, deep learning, ai, statistics","Equitable compensation and continuous equity investment, We extend equity participation to every full-time team member, recognizing and rewarding your direct contributions to our success, This includes periodic equity refreshments based on performance, ensuring that as Eight Sleep grows and succeeds, so do you  perfectly aligning your achievements with the broader triumphs of the company, Your own Pod - and other great benefits, Every Eight Sleep employee receives the very product that defines our mission: a Pod of their own, Full access to health, vision, and dental insurance for you and your dependents, Supplemental life insurance, Flexible PTO, Commuter benefits to ease your daily commute, Paid parental leave, List of benefits may vary depending on your location","Our employees report working up to 60 hours per week, This role will be responsible for core data intelligence features, exploratory data analysis, user-facing insight generation, and publication of findings to the world, This position is ideal for a data scientist looking to work on a massive amount of human data with a highly collaborative R&D team in a fast paced setting, Improve core intelligent features such as Pod temperature actuation, Develop user-facing insights that link behavior, physiology, and Pod actuation, Data analysis of research studies that lead to new features, including data engineering of study data, Collaborate with Product, Software, and Marketing to productionize features, From your first day, youll take on substantial responsibilities that have a direct impact on our core business and product success",,6142,"Jobs, LinkedIn, Jobgether, Adzuna, Jobilize",eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCwgUlx1MDAyNkQiLCJjb21wYW55X25hbWUiOiJFaWdodCBTbGVlcCIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6InpaTjMwZUdVcDAybmNxMDZBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
Data Scientist I B - GBS IND,Bank of America,Anywhere,Full-time,,,"python, r, sql, ai",,,2024/11/4,5485,"Leadership Triangle Job, Tech Titans Job Board, Jobrapido.com, Greater:SATX Job Board, Sarkari Rojgar, On Sarkari Job, Indianjob24h.in, Jobindian.in",eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCBJIEIgLSBHQlMgSU5EIiwiY29tcGFueV9uYW1lIjoiQmFuayBvZiBBbWVyaWNhIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiaXQyOHA2OEVXX3A2cHRnLUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
Data Scientist,KBR,"Colorado Springs, CO",Full-time,"$108,360 - $162,540",,"r, ai, cloud, statistics","Impactful Work: Your contributions will make a tangible difference both within the company and the broader national security field, Basic Compensation: $108,360 - $162,540, The offered rate will be based on the selected candidates knowledge, skills, abilities and/or experience and in consideration of internal parity, KBR may offer bonuses, commissions, or other forms of compensation to certain job titles or levels, per internal policy or contractual designation, Additional compensation may be in the form of sign on bonus, relocation benefits, short term incentives, long term incentives, or discretionary payments for exceptional performance","Work within a team to create and maintain data pipelines using open-source components in a cloud environment, Translate customer requirements into functional and non-functional requirements, Communicate the technical merits or demerits of a given statistical model, method, or analytic approach relative to a given problem statement, Travel Requirements: Minimal, Working Hours: Flexible, Understands and proactively mitigates the limitations of building exclusively within their local environment, Experience working productively in cloud-based, virtualized, or containerized environments across multiple operating systems",2024/10/23,4663,"KBR Job Opportunities, ZipRecruiter, Indeed, Dice, Glassdoor, JoinThe.Space, Monster, LinkedIn",eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCIsImNvbXBhbnlfbmFtZSI6IktCUiIsImFkZHJlc3NfY2l0eSI6IkNvbG9yYWRvIFNwcmluZ3MsIENPIiwiaHRpZG9jaWQiOiJfeVR4QlpDbWI1Q3F5NnVlQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
"Manager, Data Scientist",Charles Schwab,"Lone Tree, CO (+1 other)",Full-time,,Senior-level,"python, r, sql, ai, statistics","In addition to the salary range, this position is also eligible for bonus or incentive opportunities, We offer a competitive benefits package that takes care of the whole you  both today and in the future:, 401(k) with company match and Employee stock purchase plan, Paid time for vacation, volunteering, and 28-day sabbatical after every 5 years of service for eligible positions, Paid parental leave and family building benefits, Tuition reimbursement, Health, dental, and vision insurance","As a Manager (AI & Data Science) you will be part of the Product Modeling team within the Treasury & Capital Market department, The Product Modeling team is responsible for data-driven deposit and margin analytics, developing models for deposit/margin forecasting and pricing, and generating deposit forecasts on a recurring cadence, A key focus of our team is to drive forward the model automation efforts across the product modeling team, Your strong modeling background enables you to condense your observations into robust models and your strong programming experience allows you to write production level code under a rigorous change management process, While doing all this, you collaborate closely with others and are ready to present your results and observations to a wide group of stakeholders, Gain a deep understanding of the various forecasting models which measure the market risk in financial projections associated with a diverse set of deposit products across the balance sheet, Analyze large data sets to extract insights into deposit and margin products and to provide analytical support for strategic decisions, Develop new models for margin and deposit products, This includes research, writing of model white papers and technical papers and model maintenance, Automate models and analytics via a modern software change management process, Support production runs and closely work with downstream users of our models and analytics, Contributes to the future state of model development infrastructure and data patterns toward advancing AI/ML capabilities, Leverages industry opportunities to expand the organizations capabilities in data science, engineering, and modeling techniques",2024/11/4,5471,"Schwab Jobs, ZipRecruiter, Indeed, The Muse, Glassdoor, LinkedIn, SimplyHired, Ladders",eyJqb2JfdGl0bGUiOiJNYW5hZ2VyLCBEYXRhIFNjaWVudGlzdCIsImNvbXBhbnlfbmFtZSI6IkNoYXJsZXMgU2Nod2FiIiwiYWRkcmVzc19jaXR5IjoiTG9uZSBUcmVlLCBDTyIsImh0aWRvY2lkIjoibWdrOGRYZ1RNdzBtLUtHQ0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
2025 Data Scientist,The Aerospace Corporation,"Colorado Springs, CO",Full-time,"$70,000 - $105,000",,"python, r, machine learning, deep learning, ai, cloud, statistics",,,2024/11/4,10543,"Workday, LinkedIn, Indeed, Space Crew, Diversity Jobs, Glassdoor, SimplyHired, Talentify",eyJqb2JfdGl0bGUiOiIyMDI1IERhdGEgU2NpZW50aXN0IiwiY29tcGFueV9uYW1lIjoiVGhlIEFlcm9zcGFjZSBDb3Jwb3JhdGlvbiIsImFkZHJlc3NfY2l0eSI6IkNvbG9yYWRvIFNwcmluZ3MsIENPIiwiaHRpZG9jaWQiOiI3UnlaWHBERkFyR1BMbzdnQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
DOJ-Data Scientist (Senior),Francis Awoyera & Associates,Anywhere,Full-time,,Senior-level,"python, r, sql, ai, statistics",,"The Data Scientist shall have strong, and unstructured data sets to automate and optimize data wrangling (extract, transform,, clean, evaluate, normalize/standardize, and organize) from disparate sources, Conducts and facilitates, (and educates and trains on) analyses, issues identification, risk assessment, and, The Data Scientist is expected to design, develop, and, implement best available models and solutions to agency challenges and requirements, Prepares data, implements data models, and develops data management tools including, databases to support end-to-end solutions",2024/11/5,2664,"LinkedIn, Towards AI Jobs",eyJqb2JfdGl0bGUiOiJET0otRGF0YSBTY2llbnRpc3QgKFNlbmlvcikiLCJjb21wYW55X25hbWUiOiJGcmFuY2lzIEF3b3llcmEgXHUwMDI2IEFzc29jaWF0ZXMiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJJc0xsOUF3R2xMUkpLb2xRQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
Principal Data Scientist (IT),DAVITA,"Denver, CO",Full-time,"$110,100 ",Senior-level,"python, r, sql, machine learning, deep learning, ai, cloud, statistics","More than just pay, our DaVita Rewards package connects teammates to what matters most, Teammates are eligible to begin receiving benefits on the first day of the month following or coinciding with one month of continuous employment, Below are some of our benefit offerings, Comprehensive benefits: Medical, dental, vision, 401(k) match, paid time off, PTO cash out, Support for you and your family: Family resources, EAP counseling sessions, access HeadspaceÂ®, backup child and elder care, maternity/paternity leave and more, Professional development programs: DaVita offers a variety of programs to help strong performers grow within their career and also offers on-demand virtual leadership and development courses through DaVitas online training platform StarLearning, Salary/ Wage Range, $110,100.00 - $161,700.00 / year, DaVita offers a competitive total rewards package, which includes a 401k match, healthcare coverage and a broad range of other benefits","Lead and manage healthcare-focused data science projects from conceptualization to deployment, Develop and implement advanced machine learning, natural language processing, and generative AI models to solve healthcare problems, Develop and implement advanced generative AI models (e.g., GANs, VAEs, transformers) to solve complex problems, Use Python to build, test, and deploy data science solutions, Utilize the GCP software stack (Vertex AI, BigQuery, AI Platform, Dataflow, etc.), to manage and analyze large healthcare datasets, Collaborate with cross-functional teams, including clinical experts, to integrate data-driven insights into healthcare processes, Mentor and provide guidance to junior data scientists, Stay current with the latest advancements in data science, machine learning, generative AI, and healthcare analytics, Present findings and recommendations to stakeholders, including healthcare professionals and senior leadership, Ensure best practices in data science and AI are followed across the team",2024/10/17,5357,"DaVita, Dice.com, Glassdoor, LinkedIn, Adzuna, M.experteer.fr, Talent.com, Society Of Exploration Geophysicists Career Center - SEG.org",eyJqb2JfdGl0bGUiOiJQcmluY2lwYWwgRGF0YSBTY2llbnRpc3QgKElUKSIsImNvbXBhbnlfbmFtZSI6IkRBVklUQSIsImFkZHJlc3NfY2l0eSI6IkRlbnZlciwgQ08iLCJodGlkb2NpZCI6Ilc3cjZiY3NUUmpwTS1WVFJBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
