job_title,company_name,sector,location,job_type,salary_range,experience_level,education_requirements,required_skills,responsibilities,years_experience,benefits,work_mode,posting_date,job_description_length,required_certifications,team_size,company_size,posting_platform,company_culture,visa_sponsorship,working_hours,language_requirements,travel_requirements,collaboration_tools,reporting_structure,learning_opportunities,stock_options,soft_skills,perks,job_id,via
"Data Scientist, Data Science",Cardinal Health,,United States (+1 other),Full-time,"$93,500 - $133,600",3+ years,Advanced degree in Statistics or related field preferred,"Strong programming experience with R and/or Python, familiarity with machine learning techniques","Develop algorithms, predictive models, collaborate with teams, support adhoc projects, mentor colleagues",,"Medical, dental, vision coverage, paid time off, health savings account, 401k plan, flexible spending accounts, short- and long-term disability coverage, paid parental leave, healthy lifestyle programs",,5 days ago,,,,,Cardinal Health,Inclusive workplace that values diversity,,,,,,,,,"Clear communication, problem-solving",,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCwgRGF0YSBTY2llbmNlIiwiY29tcGFueV9uYW1lIjoiQ2FyZGluYWwgSGVhbHRoIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiWWdlOW15TDVxZDVReTFfZUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Usability Researcher 2- Data Scientist,Jobs via Dice,Technology,Anywhere,Full-time,,Mid-Senior level,,"Data Domain/Data science, Research skills, UX research in technical domains, product usage research for Cloud based products","Conduct qualitative and quantitative research activities, collaborate with UX Research team, foster relationships with PM and design teams, snap to organization-wide priorities",3+ years,"Medical/dental/vision insurance, HSA, FSA, 401(k), life, disability & ADD insurance, paid time off",Remote,10 hours ago,Long,,,,LinkedIn,,,,,,,,,,"Communication, project management",,eyJqb2JfdGl0bGUiOiJVc2FiaWxpdHkgUmVzZWFyY2hlciAyLSBEYXRhIFNjaWVudGlzdCIsImNvbXBhbnlfbmFtZSI6IkpvYnMgdmlhIERpY2UiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJrLVpRcFFYVDhhalVwdzJCQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Senior Data Scientist – Financial Crimes and Transaction Analytics,USAA,Financial Services,"Colorado Springs, CO",Full-time,"$138,230 - $248,810",6 years of experience in predictive analytics or data analysis,"Bachelor’s degree in mathematics, computer science, statistics, economics, finance, actuarial sciences, science and engineering, or related field","Machine learning, statistical analysis, Python, SQL, data preprocessing, model development, fraud/financial crimes model development","Translate business problems into applied statistical, machine learning, simulation, and optimization solutions, collaborate with engineering partners, develop and deploy models, mentor junior data scientists, ensure risk compliance",6,"Remote work option, competitive salary, pay incentives, comprehensive benefits package, career development opportunities","Office 4 days per week, remote work in continental U.S. with occasional travel",10 hours ago,Long,,,,LinkedIn,"Values honesty, integrity, loyalty, and service",,,,Occasional business travel,,,"Continuing education, mentorship",,,"Paid time off, health insurance, dental insurance",eyJqb2JfdGl0bGUiOiJTZW5pb3IgRGF0YSBTY2llbnRpc3Qg4oCTIEZpbmFuY2lhbCBDcmltZXMgYW5kIFRyYW5zYWN0aW9uIEFuYWx5dGljcyIsImNvbXBhbnlfbmFtZSI6IlVTQUEiLCJhZGRyZXNzX2NpdHkiOiJDb2xvcmFkbyBTcHJpbmdzLCBDTyIsImh0aWRvY2lkIjoiMEVrYlZMWHlPVk1aVVROV0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
"Data Scientist, R&D",Eight Sleep,Consumer Wellness,Anywhere,Full-time,,4+ years,"Bachelor's degree in Data Science, Statistics, Mathematics, Computer Science, or equivalent","Python, R, SQL, Github, data visualization tools, machine learning, statistics","Improve core intelligent features, develop user-facing insights, data analysis, collaborate with teams",4+ years,"Equitable compensation, equity investment, health insurance, dental insurance, flexible PTO, commuter benefits, paid parental leave",Remote,,Long,,,,Jobs,"Demanding and ambitious, intense environment, encourages innovation",,Up to 60 hours per week,,,,,"Fantastic learning opportunities, achievements, and career growth",,"Clear communication, attention to detail, adaptability","Receive a Pod, health insurance, dental insurance, life insurance, flexible PTO, commuter benefits, paid parental leave",eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCwgUlx1MDAyNkQiLCJjb21wYW55X25hbWUiOiJFaWdodCBTbGVlcCIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6InpaTjMwZUdVcDAybmNxMDZBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Data Scientist I B - GBS IND,Bank of America,Finance,Anywhere,Full-time,,4 - 6 Years,"B.E. / B. Tech/M.E. /M. Tech, Graduate degree in a quantitative or STEM discipline","Python, SQL, PySpark, Oracle, Hadoop, JIRA, Git","Adhering to software standards, developing model execution code, constructing model infrastructure, collaborating with technology teams",4 - 6 Years,"Competitive benefits to support physical, emotional, and financial well-being",Work from home,2 days ago,Long,NA,,,Leadership Triangle Job,Diverse and inclusive workplace,,11:30 AM to 8:30 PM,,,"JIRA, Git",,"Opportunities to learn, grow, and make an impact",,"Analytical, problem-solving, communication",,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCBJIEIgLSBHQlMgSU5EIiwiY29tcGFueV9uYW1lIjoiQmFuayBvZiBBbWVyaWNhIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiaXQyOHA2OEVXX3A2cHRnLUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Data Scientist,KBR,National Security Solutions,"Colorado Springs, CO",Full-time,"$108,360 - $162,540",Mid-Senior level,"BS degree in Computer Science, Mathematics, Statistics, Data Science, or related field","Data pipelines, Cloud environment, Statistical modeling, Scripting language, Agile project environments","Create and maintain data pipelines, Translate customer requirements, Communicate technical merits of statistical models",,"Impactful work, Basic Compensation, Additional compensation, Health insurance",On-site/Hybrid,17 days ago,Long,"DoD 8140 Cyber Workforce Basic Qualification equivalent (e.g., CompTIA Security+ CE)",,,KBR Job Opportunities,Inclusive and diverse,,Flexible,,Minimal,,,Continuous learning and development,,,,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCIsImNvbXBhbnlfbmFtZSI6IktCUiIsImFkZHJlc3NfY2l0eSI6IkNvbG9yYWRvIFNwcmluZ3MsIENPIiwiaHRpZG9jaWQiOiJfeVR4QlpDbWI1Q3F5NnVlQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
"Manager, Data Scientist",Charles Schwab,Finance,"Lone Tree, CO (+1 other)",Full-time,,At least 5 years in a large financial company,Bachelor’s degree with a strong quantitative component,"Quantitative modeling, statistical analysis, programming (Python, C++), data manipulation, SQL, Excel, PowerPoint","Developing models for deposit/margin forecasting, automating models, analyzing large datasets, collaborating with stakeholders",At least 5 years,"401(k) with company match, stock purchase plan, paid time off, parental leave, tuition reimbursement, health, dental, and vision insurance",Hybrid Work and Flexibility,6 days ago,Long,,,,Schwab Jobs,,,,,,,,"Opportunities to expand capabilities in data science, engineering, and modeling techniques",Available,"Strong work ethic, high self-motivation, proactive approach, attention to detail, excellent communication skills, collaborative team-player",,eyJqb2JfdGl0bGUiOiJNYW5hZ2VyLCBEYXRhIFNjaWVudGlzdCIsImNvbXBhbnlfbmFtZSI6IkNoYXJsZXMgU2Nod2FiIiwiYWRkcmVzc19jaXR5IjoiTG9uZSBUcmVlLCBDTyIsImh0aWRvY2lkIjoibWdrOGRYZ1RNdzBtLUtHQ0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Data Scientist,The Aerospace Corporation,Space and Defense,"Colorado Springs, CO",Full-time,"$70,000 - $105,000",Entry level,"Bachelors or Master’s degree in Computer Science, Engineering, or related field","Machine Learning, Python, Unix/Linux, Data Science","Research, prototype, and build AI and data-enabled tools, contribute to projects in Data Science and AI",0-2 years,"Dental insurance, Health insurance, Paid time off","Hybrid (3 days onsite, remote flexibility)",5 days ago,Long,,"Diverse team of engineers, data scientists, and programmers",,Workday,Inclusive and diverse workplace,U.S. citizenship required for security clearance,Standard and alternate work schedules,,,Not specified,,Professional growth and development programs,,"Team player, communication skills","401(k) Plan, Flexible spending accounts, Variable pay program",eyJqb2JfdGl0bGUiOiIyMDI1IERhdGEgU2NpZW50aXN0IiwiY29tcGFueV9uYW1lIjoiVGhlIEFlcm9zcGFjZSBDb3Jwb3JhdGlvbiIsImFkZHJlc3NfY2l0eSI6IkNvbG9yYWRvIFNwcmluZ3MsIENPIiwiaHRpZG9jaWQiOiI3UnlaWHBERkFyR1BMbzdnQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
DOJ-Data Scientist (Senior),Francis Awoyera & Associates,,Anywhere,Full-time,,Senior,"Master’s degree in Computer Science, Information Technology, or related discipline","Data wrangling, data mining, SQL, Python, R, SAS, Tableau, AWS","Automate and optimize data wrangling, develop data models, facilitate analyses and risk assessment",7 years,,Work from home,9 hours ago,Long,,,,LinkedIn,,,,,,,,,,"Problem-solving, analytical, communication",,eyJqb2JfdGl0bGUiOiJET0otRGF0YSBTY2llbnRpc3QgKFNlbmlvcikiLCJjb21wYW55X25hbWUiOiJGcmFuY2lzIEF3b3llcmEgXHUwMDI2IEFzc29jaWF0ZXMiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJJc0xsOUF3R2xMUkpLb2xRQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Principal Data Scientist,DAVITA,Healthcare,"Denver, CO",Full-time,"$110,100.00 - $161,700.00 / year",4-8 years,"Master’s degree or PhD in Computer Science, Statistics, Mathematics, or related field","Machine learning, deep learning, generative AI, Python, TensorFlow, PyTorch, scikit-learn, Google Cloud Platform","Lead and manage healthcare-focused data science projects, develop and implement advanced ML and AI models, collaborate with cross-functional teams, mentor junior data scientists, stay current with advancements in data science and healthcare analytics",4-8 years,"Comprehensive benefits including medical, dental, vision, 401(k) match, paid time off, professional development programs",,23 days ago,Long,,,,DaVita,"Community-oriented, diversity & belonging focused",,,,,,,On-demand virtual leadership and development courses,,"Strong communication, leadership, problem-solving skills","Family resources, EAP counseling sessions, access to Headspace, backup child and elder care, maternity/paternity leave",eyJqb2JfdGl0bGUiOiJQcmluY2lwYWwgRGF0YSBTY2llbnRpc3QgKElUKSIsImNvbXBhbnlfbmFtZSI6IkRBVklUQSIsImFkZHJlc3NfY2l0eSI6IkRlbnZlciwgQ08iLCJodGlkb2NpZCI6Ilc3cjZiY3NUUmpwTS1WVFJBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
